1,002902781
3,573340465
5,090698617
21,80797883
3,419687279
6,718799313
6,129959345
0,890262302
2,195010748
7,16081746
1,44941581
12,85433671
12,15128276
11,05082139
2,467200162
1,97793083
8,296415717
5,267639084
14,45313924
2,705155589
10,98435789
5,56336859
6,982655746
8,960701083
4,563894715
7,68752644
5,345397083
8,997728354
7,961431416
11,35782339
4,516917112
5,977718694
12,81204802
10,4392112
2,090401531
3,807704288
17,24136146
1,430354977
4,118570062
3,935886603
3,308184982
3,441050862
17,83940216
3,394582245
8,267554776
7,500643284
0,40184606
7,713203589
6,000085637
6,89462999
2,064154375
1,85613072
9,926857326
4,649658217
4,972126088
7,212589604
14,90125148
2,978366777
8,504130017
5,131477219
6,361947209
1,452122307
2,82803836
3,288797398
8,919760911
7,14871349
9,186632316
3,197312709
13,97365594
3,934834974
12,10241236
2,504735505
0,666159097
2,420397973
25,80983255
4,934738684
11,48238535
2,905807171
1,896579915
4,418253519
5,018001296
2,987268576
1,529381016
2,120836
3,853343174
11,78028087
2,286638954
1,272244112
1,938255856
1,493020302
5,601890896
7,744826429
10,30056559
7,228017142
13,30764521
5,841662589
7,607740276
7,669988052
5,102133251
4,10796573
5,869741867
4,543834937
5,276425186
1,772655153
11,17694639
2,294619481
2,561685938
2,528034015
7,604163582
3,3470962
1,034206838
2,907545666
1,037797523
1,096264165
4,15229768
17,355083
2,967747338
7,069624673
4,061060989
2,043490962
1,548284314
1,949765566
2,803012587
4,462587692
9,41721051
1,269761309
5,357244028
2,163894954
2,102056872
2,227224777
2,425825932
6,807204327
2,193069001
13,31224886
6,478897123
2,507311164
7,492642855
1,011990289
8,121180862
1,961241941
0,591954793
12,52287638
0,959478095
6,802678698
2,253339641
5,731363709
4,071103617
18,22790171
2,206623219
7,552527253
3,344698071
3,353144455
1,195294976
7,18786873
15,87225002
2,673125195
3,701475579
2,786732251
1,529666465
10,1495191
3,509598798
12,05737571
6,882980951
5,618778845
10,15984235
9,044125791
9,201073047
4,702495568
1,114714696
4,746901498
8,62690621
6,940260036
5,347123734
4,16804523
5,144295125
8,185868572
6,034831285
2,551627357
3,874203163
2,395646188
1,161422764
20,99395591
1,492856785
6,524716707
2,966116831
16,3775677
5,854536726
13,20125076
8,782877281
6,594095528
14,43862418
13,60179975
2,122383454
3,808054722
